<attribute name>,RebalanceFlag,,,,,,,,,,,,,,,,,,,,,
<owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<association>,Portfolio Return,,,,,,,,,,,,,,,,,,,,,
<type>,Real Number,,,,,,,,,,,,,,,,,,,,,
<maximum age>,1 day,,,,,,,,,,,,,,,,,,,,,
<portfolio>,BK_CAE5EST_GEMLT_BTP,,,,,,,,,,,,,,,,,,,,,
<portfolio owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<date>,<value>,<currency>,,,,,,,,,,,,,,,,,,,,
4/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/27/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
4/28/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/29/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
4/30/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/28/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/29/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
5/30/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
5/31/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/28/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
6/29/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
6/30/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
7/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
